round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,kills,killed_by_opponent,total_reward,epsilon
1388,68,0,6,15,1,0,0,0,-189.0,0.2756
1389,139,0,12,29,1,0,0,0,-342.0,0.2754
1390,42,1,4,17,1,0,0,0,-109.0,0.2751
1391,44,0,5,12,1,0,0,0,-110.0,0.2748
1392,13,0,2,4,1,0,0,0,-67.0,0.2745
1393,22,0,3,12,1,0,0,0,-57.0,0.2743
1394,37,0,5,18,1,0,0,0,-91.0,0.274
1395,56,1,6,15,0,0,0,1,-140.0,0.2737
1396,27,1,3,10,1,0,0,0,-81.0,0.2734
1397,22,0,3,10,1,0,0,0,-76.0,0.2732
1398,17,1,2,7,1,0,0,0,-65.0,0.2729
1399,17,0,2,6,1,0,0,0,-94.0,0.2726
1400,22,0,3,11,1,0,0,0,-86.0,0.2724
1401,7,0,1,3,1,0,0,0,-47.0,0.2721
1402,75,3,5,8,0,0,0,1,-149.0,0.2718
1403,24,0,3,6,1,0,0,0,-96.0,0.2715
1404,7,0,1,3,1,0,0,0,-34.0,0.2713
1405,24,0,3,13,1,0,0,0,-79.0,0.271
1406,8,0,1,6,1,0,0,0,-48.0,0.2707
1407,101,2,8,16,1,0,0,0,-190.0,0.2705
1408,26,1,3,11,1,0,0,0,-55.0,0.2702
1409,88,5,5,14,1,0,0,0,-233.0,0.2699
1410,168,3,11,20,1,2,0,0,-523.0,0.2696
1411,22,0,3,9,1,0,0,0,-93.0,0.2694
1412,20,0,3,8,1,0,0,0,-72.0,0.2691
1413,21,0,3,11,1,0,0,0,-56.0,0.2688
1414,23,0,3,11,1,0,0,0,-70.0,0.2686
1415,67,2,6,19,1,2,0,0,-171.0,0.2683
1416,6,0,1,3,1,0,0,0,-41.0,0.268
1417,63,3,7,18,1,0,0,0,-179.0,0.2678
1418,21,0,3,10,1,0,0,0,-69.0,0.2675
1419,15,0,2,6,1,0,0,0,-58.0,0.2672
1420,13,0,2,3,1,0,0,0,-84.0,0.267
1421,13,0,2,5,1,0,0,0,-62.0,0.2667
1422,29,1,3,7,1,0,0,0,-118.0,0.2664
1423,137,4,12,25,1,0,0,0,-264.0,0.2662
1424,5,0,1,3,1,0,0,0,-69.0,0.2659
1425,5,0,1,3,1,0,0,0,-69.0,0.2656
1426,14,0,2,8,1,0,0,0,-59.0,0.2654
1427,33,0,4,14,1,0,0,0,-90.0,0.2651
1428,14,0,2,5,1,0,0,0,-90.0,0.2648
1429,23,0,3,9,1,0,0,0,-78.0,0.2646
1430,122,3,10,19,0,0,0,1,-311.0,0.2643
1431,50,1,5,13,0,1,0,1,-63.0,0.264
1432,62,0,5,12,1,0,0,0,-195.0,0.2638
1433,6,0,1,3,1,0,0,0,-39.0,0.2635
1434,23,0,3,13,1,0,0,0,-75.0,0.2632
1435,58,1,6,16,1,0,0,0,-167.0,0.263
1436,27,0,4,12,1,0,0,0,-80.0,0.2627
1437,55,1,6,17,1,0,0,0,-166.0,0.2625
1438,26,0,3,10,1,0,0,0,-108.0,0.2622
1439,73,1,6,20,1,0,0,0,-100.0,0.2619
1440,7,0,1,4,1,0,0,0,-78.0,0.2617
1441,19,1,2,8,1,0,0,0,-55.0,0.2614
1442,7,0,1,1,1,0,0,0,-40.0,0.2611
1443,21,0,3,6,1,0,0,0,-86.0,0.2609
1444,22,0,3,11,1,0,0,0,-84.0,0.2606
1445,50,0,6,15,1,0,0,0,-139.0,0.2604
1446,55,2,6,11,1,0,0,0,-168.0,0.2601
1447,16,0,2,7,1,0,0,0,-80.0,0.2598
1448,7,0,1,6,1,0,0,0,-52.0,0.2596
1449,17,0,2,5,1,0,0,0,-100.0,0.2593
1450,8,0,1,3,1,0,0,0,-42.0,0.2591
1451,6,0,1,3,1,0,0,0,-36.0,0.2588
1452,91,3,9,32,1,0,0,0,-134.0,0.2585
1453,44,0,5,9,1,0,0,0,-176.0,0.2583
1454,155,0,10,12,1,1,0,0,-476.0,0.258
1455,61,2,6,19,1,0,0,0,-111.0,0.2578
1456,36,1,4,9,1,0,0,0,-130.0,0.2575
1457,69,3,7,20,1,0,0,0,-90.0,0.2573
1458,9,0,1,5,1,0,0,0,-53.0,0.257
1459,34,1,4,12,1,0,0,0,-127.0,0.2567
1460,29,0,4,15,1,0,0,0,-56.0,0.2565
1461,21,0,3,12,1,0,0,0,-85.0,0.2562
1462,14,0,2,5,1,0,0,0,-71.0,0.256
1463,6,0,1,1,1,0,0,0,-47.0,0.2557
1464,9,0,1,2,1,0,0,0,-64.0,0.2555
1465,24,0,3,9,1,0,0,0,-78.0,0.2552
1466,46,1,5,13,1,0,0,0,-142.0,0.255
1467,7,0,1,2,1,0,0,0,-47.0,0.2547
1468,6,0,1,3,1,0,0,0,-36.0,0.2544
1469,28,0,4,13,1,0,0,0,-98.0,0.2542
1470,5,0,1,4,1,0,0,0,-66.0,0.2539
1471,6,0,1,3,1,0,0,0,-36.0,0.2537
1472,6,0,1,3,1,0,0,0,-57.0,0.2534
1473,5,0,1,2,1,0,0,0,-72.0,0.2532
1474,6,0,1,1,1,0,0,0,-42.0,0.2529
1475,6,0,1,2,1,0,0,0,-39.0,0.2527
1476,13,0,2,7,1,0,0,0,-59.0,0.2524
1477,46,0,5,15,1,0,0,0,-138.0,0.2522
1478,188,4,17,46,1,1,1,0,-258.0,0.2519
1479,15,0,2,6,1,0,0,0,-66.0,0.2517
1480,16,0,2,4,1,0,0,0,-60.0,0.2514
1481,54,1,7,23,1,0,0,0,-85.0,0.2512
1482,7,0,1,3,1,0,0,0,-44.0,0.2509
1483,5,0,1,3,1,0,0,0,-69.0,0.2507
1484,30,0,4,13,1,0,0,0,-117.0,0.2504
1485,23,0,3,10,1,0,0,0,-96.0,0.2502
1486,18,1,2,9,1,0,0,0,-45.0,0.2499
1487,7,0,1,2,1,0,0,0,-49.0,0.2497
1488,7,0,1,3,1,0,0,0,-47.0,0.2494
1489,201,3,17,27,1,0,0,0,-471.0,0.2492
1490,7,0,1,2,1,0,0,0,-50.0,0.2489
1491,7,0,1,2,1,0,0,0,-52.0,0.2487
1492,6,0,1,3,1,0,0,0,-36.0,0.2484
1493,34,0,4,7,1,0,0,0,-153.0,0.2482
1494,49,1,5,15,1,0,0,0,-130.0,0.2479
1495,12,0,1,6,1,0,0,0,-65.0,0.2477
1496,43,1,5,16,1,0,0,0,-96.0,0.2474
1497,149,4,12,20,0,1,0,1,-374.0,0.2472
1498,48,0,6,13,1,0,0,0,-172.0,0.2469
1499,7,0,1,2,1,0,0,0,-47.0,0.2467
1500,7,0,1,3,1,0,0,0,-46.0,0.2464
1501,56,0,6,13,0,1,0,1,-196.0,0.2462
1502,72,1,7,18,1,0,0,0,-163.0,0.2459
1503,5,0,1,4,1,0,0,0,-66.0,0.2457
1504,13,0,2,4,1,0,0,0,-45.0,0.2454
1505,35,0,4,12,1,0,0,0,-165.0,0.2452
1506,365,3,26,41,0,2,0,0,-817.0,0.2449
1507,22,0,3,10,1,0,0,0,-75.0,0.2447
1508,7,0,1,5,1,0,0,0,-43.0,0.2445
1509,31,0,4,9,1,0,0,0,-110.0,0.2442
1510,27,1,3,7,1,0,0,0,-95.0,0.244
1511,118,0,12,28,1,0,0,0,-274.0,0.2437
1512,6,0,1,3,1,0,0,0,-36.0,0.2435
1513,91,0,9,22,1,1,0,0,-229.0,0.2432
1514,62,0,6,17,1,0,0,0,-170.0,0.243
1515,14,0,2,4,1,0,0,0,-60.0,0.2428
1516,53,1,6,9,0,0,0,1,-101.0,0.2425
1517,8,0,1,3,1,0,0,0,-58.0,0.2423
1518,22,0,3,14,1,0,0,0,-55.0,0.242
1519,22,0,3,7,1,0,0,0,-75.0,0.2418
1520,13,0,2,4,1,0,0,0,-49.0,0.2415
1521,16,0,2,4,1,0,0,0,-89.0,0.2413
1522,9,0,1,2,1,0,0,0,-64.0,0.2411
1523,6,0,1,2,1,0,0,0,-56.0,0.2408
1524,46,1,5,10,1,0,0,0,-114.0,0.2406
1525,65,5,5,23,1,0,0,0,-77.0,0.2403
1526,8,0,1,2,1,0,0,0,-45.0,0.2401
1527,6,0,1,2,1,0,0,0,-39.0,0.2399
1528,5,0,1,4,1,0,0,0,-66.0,0.2396
1529,44,1,5,14,1,0,0,0,-138.0,0.2394
1530,14,0,2,6,1,0,0,0,-57.0,0.2391
1531,24,0,3,7,1,0,0,0,-89.0,0.2389
1532,38,1,4,13,1,0,0,0,-109.0,0.2387
1533,103,2,6,21,1,0,0,0,-200.0,0.2384
1534,55,1,6,15,1,0,0,0,-153.0,0.2382
1535,17,1,2,5,1,0,0,0,-65.0,0.2379
1536,22,0,3,8,1,0,0,0,-86.0,0.2377
1537,21,0,3,8,1,0,0,0,-78.0,0.2375
