round,steps,coins_collected,epsilon
1150,400,22,0.3498
1151,400,22,0.3494
1152,400,10,0.3491
1153,400,31,0.3487
1154,198,50,0.3484
1155,195,50,0.348
1156,195,50,0.3477
1157,192,50,0.3473
1158,400,23,0.347
1159,207,50,0.3466
1160,400,17,0.3463
1161,400,17,0.3459
1162,400,4,0.3456
1163,400,28,0.3452
1164,400,42,0.3449
1165,180,50,0.3445
1166,400,3,0.3442
1167,400,50,0.3439
1168,400,23,0.3435
1169,400,40,0.3432
1170,400,4,0.3428
1171,193,50,0.3425
1172,161,50,0.3421
1173,400,3,0.3418
1174,184,50,0.3415
1175,174,50,0.3411
1176,231,50,0.3408
1177,400,16,0.3404
1178,203,50,0.3401
1179,219,50,0.3398
1180,260,50,0.3394
1181,400,24,0.3391
1182,400,7,0.3387
1183,178,50,0.3384
1184,179,50,0.3381
1185,296,50,0.3377
1186,400,16,0.3374
1187,400,6,0.337
1188,191,50,0.3367
1189,400,14,0.3364
1190,400,12,0.336
1191,400,7,0.3357
1192,400,14,0.3354
1193,400,35,0.335
1194,400,9,0.3347
1195,400,3,0.3344
1196,400,27,0.334
1197,400,4,0.3337
1198,400,6,0.3334
1199,400,46,0.333
1200,400,16,0.3327
1201,400,3,0.3324
1202,400,40,0.332
1203,400,24,0.3317
1204,400,21,0.3314
1205,400,7,0.331
1206,400,12,0.3307
1207,400,14,0.3304
1208,400,12,0.33
1209,400,5,0.3297
1210,400,10,0.3294
1211,178,50,0.329
1212,235,50,0.3287
1213,400,10,0.3284
1214,400,7,0.3281
1215,400,18,0.3277
1216,183,50,0.3274
1217,400,36,0.3271
1218,400,20,0.3268
1219,400,17,0.3264
1220,400,2,0.3261
1221,200,50,0.3258
1222,162,50,0.3254
1223,400,24,0.3251
1224,400,47,0.3248
1225,400,34,0.3245
1226,400,30,0.3241
1227,400,12,0.3238
1228,400,28,0.3235
1229,197,50,0.3232
1230,357,50,0.3229
1231,400,45,0.3225
1232,400,10,0.3222
1233,165,50,0.3219
1234,212,50,0.3216
1235,400,30,0.3212
1236,211,50,0.3209
1237,175,50,0.3206
1238,163,50,0.3203
1239,400,7,0.32
1240,236,50,0.3196
1241,209,50,0.3193
1242,400,46,0.319
1243,400,16,0.3187
1244,205,50,0.3184
1245,175,50,0.318
1246,400,14,0.3177
1247,400,7,0.3174
1248,400,11,0.3171
1249,400,36,0.3168
1250,400,7,0.3165
1251,400,46,0.3161
1252,225,50,0.3158
1253,400,27,0.3155
1254,400,12,0.3152
1255,400,19,0.3149
1256,400,10,0.3146
1257,190,50,0.3142
1258,400,11,0.3139
1259,288,50,0.3136
1260,189,50,0.3133
1261,400,10,0.313
1262,180,50,0.3127
1263,400,14,0.3124
1264,201,50,0.3121
1265,400,12,0.3117
1266,400,18,0.3114
1267,400,13,0.3111
1268,400,10,0.3108
1269,400,25,0.3105
1270,400,3,0.3102
1271,400,13,0.3099
1272,164,50,0.3096
1273,390,50,0.3093
1274,400,10,0.3089
1275,400,16,0.3086
1276,400,13,0.3083
1277,400,22,0.308
1278,400,5,0.3077
1279,400,26,0.3074
1280,400,12,0.3071
1281,400,10,0.3068
1282,400,17,0.3065
1283,182,50,0.3062
1284,400,6,0.3059
1285,400,26,0.3056
1286,189,50,0.3053
1287,197,50,0.305
1288,227,50,0.3046
1289,400,9,0.3043
1290,400,3,0.304
1291,212,50,0.3037
1292,400,15,0.3034
1293,400,1,0.3031
1294,182,50,0.3028
1295,185,50,0.3025
1296,206,50,0.3022
1297,161,50,0.3019
1298,199,50,0.3016
1299,151,50,0.3013
1300,178,50,0.301
1301,400,16,0.3007
1302,400,8,0.3004
1303,354,50,0.3001
1304,400,8,0.2998
1305,379,50,0.2995
1306,400,38,0.2992
1307,400,34,0.2989
1308,400,8,0.2986
1309,198,50,0.2983
1310,185,50,0.298
1311,219,50,0.2977
1312,215,50,0.2974
1313,400,9,0.2971
1314,400,6,0.2968
1315,400,21,0.2965
1316,400,13,0.2962
1317,400,2,0.2959
1318,400,43,0.2956
1319,400,1,0.2953
1320,230,50,0.2951
1321,400,16,0.2948
1322,151,50,0.2945
1323,400,26,0.2942
1324,400,8,0.2939
1325,155,50,0.2936
1326,207,50,0.2933
1327,203,50,0.293
1328,400,48,0.2927
1329,400,21,0.2924
1330,400,5,0.2921
1331,400,17,0.2918
1332,400,6,0.2915
1333,400,15,0.2912
1334,400,9,0.2909
1335,400,41,0.2907
1336,400,28,0.2904
1337,400,28,0.2901
1338,166,50,0.2898
1339,197,50,0.2895
1340,183,50,0.2892
1341,400,20,0.2889
1342,400,34,0.2886
1343,200,50,0.2883
1344,400,19,0.288
1345,400,13,0.2878
1346,171,50,0.2875
1347,175,50,0.2872
1348,400,13,0.2869
1349,400,16,0.2866
1350,400,12,0.2863
1351,400,0,0.286
1352,233,50,0.2858
1353,181,50,0.2855
1354,400,48,0.2852
1355,400,22,0.2849
1356,274,50,0.2846
1357,162,50,0.2843
1358,400,38,0.284
1359,164,50,0.2838
1360,174,50,0.2835
1361,161,50,0.2832
1362,169,50,0.2829
1363,145,50,0.2826
1364,194,50,0.2823
1365,400,20,0.2821
1366,400,14,0.2818
1367,400,22,0.2815
1368,400,20,0.2812
1369,400,11,0.2809
1370,223,50,0.2807
1371,400,18,0.2804
1372,400,0,0.2801
1373,400,47,0.2798
1374,400,42,0.2795
1375,256,50,0.2793
1376,400,24,0.279
1377,176,50,0.2787
1378,189,50,0.2784
1379,180,50,0.2781
1380,400,3,0.2779
1381,193,50,0.2776
1382,175,50,0.2773
1383,400,45,0.277
1384,400,23,0.2767
1385,353,50,0.2765
1386,400,21,0.2762
1387,400,48,0.2759
1388,400,13,0.2756
1389,400,44,0.2754
1390,400,44,0.2751
1391,400,13,0.2748
1392,400,10,0.2745
1393,181,50,0.2743
1394,180,50,0.274
1395,146,50,0.2737
1396,179,50,0.2734
1397,184,50,0.2732
1398,400,3,0.2729
1399,400,44,0.2726
1400,400,12,0.2724
