round,steps,coins_collected,epsilon
545,400,24,0.6407
546,385,50,0.64
547,400,49,0.6394
548,324,50,0.6388
549,400,49,0.6381
550,387,50,0.6375
551,326,50,0.6368
552,314,50,0.6362
553,400,20,0.6356
554,400,14,0.6349
555,400,16,0.6343
556,400,19,0.6337
557,400,11,0.633
558,400,14,0.6324
559,337,50,0.6318
560,383,50,0.6311
561,400,37,0.6305
562,400,44,0.6299
563,400,15,0.6292
564,400,24,0.6286
565,400,34,0.628
566,400,20,0.6274
567,400,40,0.6267
568,317,50,0.6261
569,288,50,0.6255
570,367,50,0.6249
571,300,50,0.6242
572,400,16,0.6236
573,307,50,0.623
574,356,50,0.6224
575,277,50,0.6217
576,374,50,0.6211
577,251,50,0.6205
578,400,16,0.6199
579,400,15,0.6193
580,284,50,0.6186
581,400,10,0.618
582,400,24,0.6174
583,400,17,0.6168
584,400,12,0.6162
585,400,5,0.6155
586,400,49,0.6149
587,400,17,0.6143
588,400,14,0.6137
589,400,24,0.6131
590,400,30,0.6125
591,367,50,0.6119
592,355,50,0.6113
593,400,12,0.6106
594,332,50,0.61
595,400,19,0.6094
596,400,23,0.6088
597,400,27,0.6082
598,400,34,0.6076
599,400,8,0.607
600,400,21,0.6064
601,310,50,0.6058
602,400,37,0.6052
603,269,50,0.6046
604,400,6,0.604
605,317,50,0.6034
606,400,38,0.6027
607,400,19,0.6021
608,400,6,0.6015
609,400,29,0.6009
610,400,17,0.6003
611,400,21,0.5997
612,400,17,0.5991
613,400,29,0.5985
614,400,4,0.5979
615,309,50,0.5973
616,326,50,0.5967
617,325,50,0.5962
618,400,35,0.5956
619,321,50,0.595
620,330,50,0.5944
621,367,50,0.5938
622,400,18,0.5932
623,400,44,0.5926
624,400,43,0.592
625,400,38,0.5914
626,400,48,0.5908
627,300,50,0.5902
628,400,18,0.5896
629,400,49,0.589
630,293,50,0.5884
631,379,50,0.5879
632,391,50,0.5873
633,265,50,0.5867
634,400,9,0.5861
635,400,7,0.5855
636,251,50,0.5849
637,328,50,0.5843
638,400,45,0.5838
639,298,50,0.5832
640,400,15,0.5826
641,400,19,0.582
642,400,27,0.5814
643,400,46,0.5808
644,400,26,0.5803
645,266,50,0.5797
646,400,30,0.5791
647,400,18,0.5785
648,358,50,0.5779
649,400,44,0.5774
650,267,50,0.5768
651,290,50,0.5762
652,400,12,0.5756
653,400,30,0.5751
654,400,6,0.5745
655,400,23,0.5739
656,400,11,0.5733
657,400,3,0.5728
658,400,49,0.5722
659,400,17,0.5716
660,400,13,0.571
661,400,11,0.5705
662,400,24,0.5699
663,400,8,0.5693
664,400,20,0.5688
665,243,50,0.5682
666,400,15,0.5676
667,400,11,0.5671
668,220,50,0.5665
669,400,25,0.5659
670,400,10,0.5654
671,286,50,0.5648
672,400,17,0.5642
673,400,27,0.5637
674,400,34,0.5631
675,400,38,0.5625
676,400,13,0.562
677,400,12,0.5614
678,400,33,0.5609
679,400,18,0.5603
680,400,33,0.5597
681,400,5,0.5592
682,400,49,0.5586
683,400,35,0.5581
684,400,21,0.5575
685,245,50,0.5569
686,400,14,0.5564
687,277,50,0.5558
688,375,50,0.5553
689,400,18,0.5547
690,400,12,0.5542
691,400,21,0.5536
692,400,43,0.5531
693,337,50,0.5525
694,400,13,0.552
695,362,50,0.5514
696,328,50,0.5508
697,400,16,0.5503
698,400,26,0.5497
699,400,18,0.5492
700,400,17,0.5486
701,312,50,0.5481
702,400,19,0.5476
703,310,50,0.547
704,305,50,0.5465
705,332,50,0.5459
706,400,27,0.5454
707,298,50,0.5448
708,400,33,0.5443
709,400,30,0.5437
710,294,50,0.5432
711,400,14,0.5426
712,282,50,0.5421
713,400,10,0.5416
714,400,9,0.541
715,400,12,0.5405
716,400,13,0.5399
717,270,50,0.5394
718,400,11,0.5389
719,400,29,0.5383
720,325,50,0.5378
721,400,11,0.5372
722,259,50,0.5367
723,400,20,0.5362
724,400,16,0.5356
725,400,42,0.5351
726,400,29,0.5346
727,400,7,0.534
728,400,17,0.5335
729,400,4,0.533
730,400,28,0.5324
731,400,23,0.5319
732,400,13,0.5314
733,400,6,0.5308
734,306,50,0.5303
735,324,50,0.5298
736,400,18,0.5292
737,400,10,0.5287
738,400,46,0.5282
739,400,29,0.5277
740,400,39,0.5271
741,400,20,0.5266
742,258,50,0.5261
743,227,50,0.5255
744,264,50,0.525
745,400,42,0.5245
746,400,39,0.524
747,263,50,0.5234
748,400,5,0.5229
749,400,47,0.5224
750,400,14,0.5219
751,400,6,0.5214
752,266,50,0.5208
753,400,12,0.5203
754,400,8,0.5198
755,400,13,0.5193
756,400,13,0.5188
757,400,5,0.5182
758,255,50,0.5177
759,297,50,0.5172
760,319,50,0.5167
761,256,50,0.5162
762,400,10,0.5156
763,400,10,0.5151
764,400,19,0.5146
765,400,15,0.5141
766,247,50,0.5136
767,400,10,0.5131
768,400,12,0.5126
769,363,50,0.512
770,400,14,0.5115
771,400,18,0.511
772,289,50,0.5105
773,400,26,0.51
774,400,35,0.5095
775,400,23,0.509
776,400,31,0.5085
777,400,43,0.508
778,400,22,0.5075
779,400,29,0.507
780,400,9,0.5064
781,247,50,0.5059
782,400,15,0.5054
783,400,13,0.5049
784,400,4,0.5044
785,264,50,0.5039
786,400,12,0.5034
787,213,50,0.5029
788,266,50,0.5024
789,400,8,0.5019
790,253,50,0.5014
791,400,27,0.5009
792,400,14,0.5004
793,400,23,0.4999
794,400,6,0.4994
795,302,50,0.4989
796,266,50,0.4984
797,238,50,0.4979
798,309,50,0.4974
799,295,50,0.4969
800,400,35,0.4964
801,232,50,0.4959
802,400,15,0.4954
803,272,50,0.4949
804,226,50,0.4944
805,400,45,0.4939
806,357,50,0.4934
807,400,25,0.4929
808,268,50,0.4925
809,400,46,0.492
810,400,24,0.4915
811,288,50,0.491
812,400,45,0.4905
813,400,42,0.49
814,400,50,0.4895
815,400,45,0.489
816,400,48,0.4885
817,275,50,0.488
818,400,49,0.4876
819,400,13,0.4871
820,240,50,0.4866
821,195,50,0.4861
822,400,37,0.4856
823,328,50,0.4851
824,400,39,0.4846
825,400,41,0.4841
826,382,50,0.4837
827,400,35,0.4832
828,300,50,0.4827
829,376,50,0.4822
830,400,4,0.4817
831,400,11,0.4813
832,291,50,0.4808
833,400,49,0.4803
834,302,50,0.4798
835,286,50,0.4793
836,400,10,0.4788
837,292,50,0.4784
838,238,50,0.4779
839,400,49,0.4774
840,400,29,0.4769
841,400,17,0.4765
842,400,45,0.476
843,400,11,0.4755
844,280,50,0.475
845,311,50,0.4746
846,400,28,0.4741
847,400,24,0.4736
848,400,22,0.4731
849,400,5,0.4727
850,276,50,0.4722
851,400,22,0.4717
852,245,50,0.4712
853,246,50,0.4708
854,272,50,0.4703
855,213,50,0.4698
856,400,15,0.4694
857,400,35,0.4689
858,400,25,0.4684
859,262,50,0.468
860,237,50,0.4675
861,400,16,0.467
862,400,14,0.4666
863,400,7,0.4661
864,400,8,0.4656
865,238,50,0.4652
866,400,33,0.4647
867,400,7,0.4642
868,279,50,0.4638
869,400,29,0.4633
870,400,18,0.4628
871,400,7,0.4624
