round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,kills,killed_by_opponent,total_reward,epsilon
3777,231,5,21,50,0,0,0,1,-299.0,0.1
3778,35,0,4,10,1,0,0,0,-151.0,0.1
3779,155,2,17,33,1,1,0,0,-206.0,0.1
3780,295,3,30,37,1,0,0,0,-902.0,0.1
3781,29,0,4,11,1,0,0,0,-68.0,0.1
3782,32,1,4,14,1,0,0,0,-50.0,0.1
3783,220,4,14,32,1,1,0,0,-254.0,0.1
3784,39,1,5,13,0,1,0,1,-81.0,0.1
3785,62,2,7,20,1,0,0,0,-116.0,0.1
3786,64,2,8,25,0,0,0,1,-20.0,0.1
3787,7,0,1,2,1,0,0,0,-47.0,0.1
3788,22,0,3,11,1,0,0,0,-59.0,0.1
3789,50,2,6,21,1,0,0,0,-79.0,0.1
3790,16,0,2,6,1,0,0,0,-79.0,0.1
3791,18,1,2,8,1,0,0,0,-31.0,0.1
3792,64,4,7,28,1,0,0,0,-54.0,0.1
3793,72,1,8,21,1,2,0,0,-141.0,0.1
3794,21,0,3,7,1,0,0,0,-52.0,0.1
3795,340,7,26,42,1,0,0,0,-828.0,0.1
3796,100,2,11,35,1,1,0,0,-88.0,0.1
3797,72,3,7,18,1,0,0,0,-165.0,0.1
3798,48,2,6,15,1,0,0,0,-100.0,0.1
3799,44,1,6,17,1,0,0,0,-46.0,0.1
3800,16,1,2,6,1,0,0,0,-35.0,0.1
3801,5,0,1,4,1,0,0,0,-66.0,0.1
3802,122,1,14,34,1,0,0,0,-216.0,0.1
3803,38,0,5,18,1,0,0,0,-59.0,0.1
3804,25,2,3,12,1,0,0,0,-27.0,0.1
3805,14,0,2,9,1,0,0,0,-38.0,0.1
3806,267,2,22,32,1,5,0,0,-550.0,0.1
3807,13,0,2,4,1,0,0,0,-73.0,0.1
3808,54,0,7,20,1,0,0,0,-116.0,0.1
3809,6,0,1,3,1,0,0,0,-57.0,0.1
3810,71,1,9,25,1,1,0,0,-126.0,0.1
3811,400,1,45,44,0,0,0,0,-1236.0,0.1
3812,24,2,3,9,1,0,0,0,-55.0,0.1
3813,47,1,6,15,0,0,0,1,-100.0,0.1
3814,109,1,10,30,1,0,0,0,-104.0,0.1
3815,54,3,6,17,1,0,0,0,-93.0,0.1
3816,308,0,22,33,1,0,0,0,-881.0,0.1
3817,29,0,4,13,1,0,0,0,-84.0,0.1
3818,23,0,3,8,1,0,0,0,-90.0,0.1
3819,222,3,18,40,0,2,0,1,-354.0,0.1
3820,7,0,1,2,1,0,0,0,-47.0,0.1
3821,32,0,4,10,1,0,0,0,-113.0,0.1
3822,97,2,8,23,1,0,0,0,-116.0,0.1
3823,16,0,2,7,1,0,0,0,-82.0,0.1
3824,43,3,5,18,1,0,0,0,-40.0,0.1
3825,78,0,8,22,1,0,0,0,-171.0,0.1
3826,9,0,1,6,1,0,0,0,-44.0,0.1
3827,6,0,1,3,1,0,0,0,-36.0,0.1
3828,53,3,6,20,1,0,0,0,-110.0,0.1
3829,308,2,26,37,1,0,0,0,-770.0,0.1
3830,15,1,2,6,1,0,0,0,-49.0,0.1
3831,99,1,9,32,1,1,0,0,-77.0,0.1
3832,22,0,3,10,1,0,0,0,-80.0,0.1
3833,29,0,4,11,1,0,0,0,-87.0,0.1
3834,139,0,10,33,0,1,0,1,-208.0,0.1
3835,150,3,12,21,1,0,0,0,-331.0,0.1
3836,14,0,2,7,1,0,0,0,-60.0,0.1
3837,69,2,8,25,1,0,0,0,-99.0,0.1
3838,29,0,4,10,1,0,0,0,-71.0,0.1
3839,400,5,43,38,0,4,0,0,-1007.0,0.1
3840,59,1,7,15,1,0,0,0,-134.0,0.1
3841,92,1,10,23,1,1,0,0,-199.0,0.1
3842,36,2,4,13,1,0,0,0,-71.0,0.1
3843,55,2,7,26,1,0,0,0,-56.0,0.1
3844,139,3,12,28,1,2,0,0,-299.0,0.1
3845,13,0,2,4,1,0,0,0,-73.0,0.1
3846,57,0,8,26,1,0,0,0,-108.0,0.1
3847,168,2,15,29,1,1,1,0,-407.0,0.1
3848,20,0,3,7,1,0,0,0,-72.0,0.1
3849,151,4,16,36,0,1,0,1,-188.0,0.1
3850,41,1,5,22,1,0,0,0,-58.0,0.1
3851,232,2,17,24,1,0,0,0,-464.0,0.1
3852,22,0,3,8,1,0,0,0,-95.0,0.1
