round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,total_reward,epsilon
1,15,0,1,1,1,0,-39.0,1.0
2,5,0,1,1,1,0,-24.0,1.0
3,6,0,1,1,1,0,-25.0,1.0
4,6,0,1,1,1,0,-45.0,1.0
5,5,0,1,1,1,0,-38.0,1.0
6,5,0,1,1,1,0,-24.0,1.0
7,13,0,2,2,1,0,-29.0,1.0
8,7,0,1,1,1,0,-45.0,1.0
9,5,0,1,1,1,0,-38.0,1.0
10,5,0,1,1,1,0,-38.0,1.0
11,19,0,2,1,1,0,-47.0,1.0
12,5,0,1,1,1,0,-21.0,1.0
13,11,0,1,0,1,0,-55.0,1.0
14,9,0,1,1,1,0,-23.0,1.0
15,10,0,1,1,1,0,-27.0,1.0
16,11,0,1,1,1,0,-64.0,1.0
17,7,0,1,1,1,0,-42.0,1.0
18,8,0,1,1,1,0,-27.0,1.0
19,7,0,1,1,1,0,-29.0,1.0
20,12,0,1,1,1,0,-35.0,1.0
21,5,0,1,1,1,0,-38.0,1.0
22,5,0,1,1,1,0,-38.0,1.0
23,5,0,1,1,1,0,-44.0,1.0
24,6,0,1,1,1,0,-14.0,1.0
25,13,0,1,1,1,0,-44.0,1.0
26,13,0,2,2,1,0,-27.0,1.0
27,21,1,3,3,1,0,-23.0,1.0
28,12,0,1,1,1,0,-31.0,1.0
29,5,0,1,1,1,0,-38.0,1.0
30,5,0,1,1,1,0,-41.0,1.0
31,8,0,1,1,1,0,-33.0,1.0
32,5,0,1,1,1,0,-41.0,1.0
33,22,0,2,2,1,0,-51.0,1.0
34,8,0,1,1,1,0,-21.0,1.0
35,8,0,1,1,1,0,-49.0,1.0
36,6,0,1,1,1,0,-45.0,1.0
37,11,0,1,1,1,0,-57.0,1.0
38,21,0,1,1,1,0,-78.0,1.0
39,5,0,1,1,1,0,-38.0,1.0
40,7,0,1,1,1,0,-18.0,1.0
41,5,0,1,1,1,0,-26.0,1.0
42,11,0,1,1,1,0,-41.0,1.0
43,5,0,1,1,1,0,-41.0,1.0
44,10,0,1,1,1,0,-52.0,1.0
45,9,0,1,1,1,0,-47.0,1.0
46,6,0,1,1,1,0,-45.0,1.0
47,7,0,1,1,1,0,-43.0,1.0
48,5,0,1,1,1,0,-38.0,1.0
49,12,0,1,1,1,0,-41.0,1.0
50,5,0,1,1,1,0,-41.0,1.0
51,7,0,1,1,1,0,-21.0,1.0
52,7,0,1,1,1,0,-14.0,1.0
53,5,0,1,1,1,0,-41.0,1.0
54,7,0,1,1,1,0,-29.0,1.0
55,7,0,1,1,1,0,-18.0,1.0
56,21,0,3,2,1,0,-47.0,1.0
57,5,0,1,1,1,0,-38.0,1.0
58,6,0,1,1,1,0,-13.0,1.0
59,18,0,2,2,1,0,-53.0,1.0
60,5,0,1,1,1,0,-38.0,1.0
61,26,0,3,2,1,0,-63.0,1.0
62,13,0,1,1,1,0,-37.0,1.0
63,9,0,1,1,1,0,-47.0,1.0
64,5,0,1,1,1,0,-41.0,1.0
65,7,0,1,1,1,0,-43.0,1.0
66,10,0,1,1,1,0,-40.0,1.0
67,5,0,1,1,1,0,-19.0,1.0
68,7,0,1,1,1,0,-24.0,1.0
69,6,0,1,1,1,0,-31.0,1.0
70,7,0,1,1,1,0,-18.0,1.0
71,6,0,1,1,1,0,-42.0,1.0
72,6,0,1,1,1,0,-45.0,1.0
73,7,0,1,1,1,0,-42.0,1.0
74,6,0,1,1,1,0,-45.0,1.0
75,5,0,1,1,1,0,-17.0,1.0
76,14,0,2,2,1,0,-41.0,1.0
77,5,0,1,1,1,0,-45.0,1.0
78,6,0,1,1,1,0,-45.0,1.0
79,5,0,1,1,1,0,-40.0,1.0
80,12,0,1,1,1,0,-32.0,1.0
81,15,0,2,2,1,0,-27.0,1.0
82,13,0,1,1,1,0,-61.0,1.0
83,9,0,1,1,1,0,-39.0,1.0
84,5,0,1,1,1,0,-41.0,1.0
85,7,0,1,1,1,0,-15.0,1.0
86,7,0,1,1,1,0,-29.0,1.0
87,7,0,1,1,1,0,-27.0,1.0
88,6,0,1,1,1,0,-45.0,1.0
89,9,0,1,1,1,0,-26.0,1.0
90,8,0,1,1,1,0,-19.0,1.0
91,8,0,1,1,1,0,-33.0,1.0
92,6,0,1,1,1,0,-42.0,1.0
93,8,0,1,1,1,0,-46.0,1.0
94,5,0,1,1,1,0,-41.0,1.0
95,9,0,1,1,1,0,-56.0,1.0
96,12,0,1,1,1,0,-31.0,1.0
97,9,0,1,1,1,0,-51.0,1.0
98,7,0,1,1,1,0,-21.0,1.0
99,6,0,1,1,1,0,-26.0,1.0
100,9,0,1,1,1,0,-20.0,1.0
101,8,0,1,1,1,0,-23.0,0.999
102,7,0,1,1,1,0,-49.0,0.998
103,9,0,1,1,1,0,-16.0,0.997
104,6,0,1,1,1,0,-41.0,0.996
105,5,0,1,1,1,0,-37.0,0.995
106,8,0,1,1,1,0,-15.0,0.994
107,27,0,2,2,1,0,-69.0,0.993
108,5,0,1,1,1,0,-41.0,0.992
109,8,0,1,1,1,0,-46.0,0.991
110,5,0,1,1,1,0,-16.0,0.99
111,20,0,2,2,1,0,-63.0,0.9891
112,10,0,1,1,1,0,-23.0,0.9881
113,5,0,1,1,1,0,-38.0,0.9871
114,14,0,2,2,1,0,-26.0,0.9861
115,5,0,1,1,1,0,-44.0,0.9851
116,15,0,1,1,1,0,-40.0,0.9841
117,7,0,1,1,1,0,-49.0,0.9831
118,5,0,1,1,1,0,-37.0,0.9822
119,27,0,3,3,1,0,-56.0,0.9812
120,8,0,1,1,1,0,-10.0,0.9802
121,13,0,1,1,1,0,-56.0,0.9792
122,11,0,1,1,1,0,-23.0,0.9782
123,8,0,1,1,1,0,-39.0,0.9773
124,5,0,1,1,1,0,-38.0,0.9763
125,7,0,1,1,1,0,-49.0,0.9753
126,16,0,1,1,1,0,-45.0,0.9743
127,13,0,2,2,1,0,-9.0,0.9733
128,13,0,1,1,1,0,-67.0,0.9724
129,8,0,1,1,1,0,-19.0,0.9714
130,7,0,1,1,1,0,-29.0,0.9704
131,14,0,1,1,1,0,-43.0,0.9695
132,8,0,1,1,1,0,-27.0,0.9685
133,7,0,1,1,1,0,-42.0,0.9675
134,5,0,1,1,1,0,-38.0,0.9666
135,8,0,1,1,1,0,-19.0,0.9656
136,5,0,1,1,1,0,-41.0,0.9646
137,5,0,1,1,1,0,-38.0,0.9637
138,10,0,1,1,1,0,-46.0,0.9627
139,10,0,1,1,1,0,-38.0,0.9617
140,7,0,1,1,1,0,-52.0,0.9608
141,16,0,1,1,1,0,-53.0,0.9598
142,6,0,1,1,1,0,-25.0,0.9588
143,13,0,1,1,1,0,-60.0,0.9579
144,7,0,1,1,1,0,-18.0,0.9569
145,5,0,1,1,1,0,-38.0,0.956
146,12,0,1,1,1,0,-46.0,0.955
147,19,0,2,2,1,0,-42.0,0.9541
148,5,0,1,1,1,0,-24.0,0.9531
149,6,0,1,1,1,0,-25.0,0.9522
150,15,0,1,1,1,0,-30.0,0.9512
151,28,0,3,3,1,0,-46.0,0.9503
152,5,0,1,1,1,0,-38.0,0.9493
153,5,0,1,1,1,0,-41.0,0.9484
154,5,0,1,1,1,0,-37.0,0.9474
155,6,0,1,1,1,0,-25.0,0.9465
156,5,0,1,1,1,0,-44.0,0.9455
157,9,0,1,1,1,0,-25.0,0.9446
158,6,0,1,1,1,0,-8.0,0.9436
159,7,0,1,1,1,0,-48.0,0.9427
160,5,0,1,1,1,0,-19.0,0.9417
161,8,0,1,1,1,0,-22.0,0.9408
162,8,0,1,1,1,0,-20.0,0.9399
163,9,0,1,1,1,0,-39.0,0.9389
164,10,0,1,1,1,0,-55.0,0.938
165,6,0,1,1,1,0,-11.0,0.937
166,5,0,1,1,1,0,-41.0,0.9361
167,10,0,1,1,1,0,-27.0,0.9352
168,11,0,1,1,1,0,-64.0,0.9342
169,6,0,1,1,1,0,-45.0,0.9333
170,5,0,1,1,1,0,-38.0,0.9324
171,5,0,1,1,1,0,-41.0,0.9314
172,10,0,1,1,1,0,-48.0,0.9305
173,9,0,1,1,1,0,-35.0,0.9296
174,13,0,2,2,1,0,-29.0,0.9286
175,10,0,1,1,1,0,-30.0,0.9277
176,15,0,2,2,1,0,-37.0,0.9268
177,18,0,2,2,1,0,-37.0,0.9259
178,5,0,1,1,1,0,-39.0,0.9249
179,8,0,1,1,1,0,-50.0,0.924
180,5,0,1,1,1,0,-35.0,0.9231
181,5,0,1,1,1,0,-41.0,0.9222
182,9,0,1,1,1,0,-37.0,0.9212
183,6,0,1,1,1,0,-42.0,0.9203
184,7,0,1,1,1,0,-26.0,0.9194
185,6,0,1,1,1,0,-26.0,0.9185
186,5,0,1,1,1,0,-38.0,0.9176
187,8,0,1,1,1,0,-31.0,0.9166
188,6,0,1,1,1,0,-42.0,0.9157
189,6,0,1,1,1,0,-27.0,0.9148
190,17,0,2,2,1,0,-43.0,0.9139
191,15,0,1,1,1,0,-28.0,0.913
192,21,0,1,1,1,0,-51.0,0.9121
193,7,0,1,1,1,0,-21.0,0.9112
194,6,0,1,1,1,0,-28.0,0.9102
195,7,0,1,1,1,0,-15.0,0.9093
196,11,0,1,1,1,0,-38.0,0.9084
197,8,0,1,1,1,0,-36.0,0.9075
198,23,0,2,2,1,0,-57.0,0.9066
199,15,0,2,2,1,0,-42.0,0.9057
200,7,0,1,1,1,0,-11.0,0.9048
201,9,0,1,1,1,0,-29.0,0.9039
202,17,0,2,2,1,0,-36.0,0.903
203,7,0,1,1,1,0,-35.0,0.9021
204,6,0,1,1,1,0,-41.0,0.9012
205,6,0,1,1,1,0,-41.0,0.9003
206,8,0,1,1,1,0,-49.0,0.8994
207,6,0,1,1,1,0,-31.0,0.8985
208,14,0,2,2,1,0,-33.0,0.8976
209,6,0,1,1,1,0,-11.0,0.8967
210,5,0,1,1,1,0,-44.0,0.8958
211,5,0,1,1,1,0,-38.0,0.8949
212,17,0,2,2,1,0,-23.0,0.894
213,8,0,1,1,1,0,-47.0,0.8931
214,5,0,1,1,1,0,-41.0,0.8922
